p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
4.30840325885984e-62,0.14745085965647953,0.376,0.299,1.1240193262039437e-57,CREB3L2
4.572198876905799e-62,0.23580414512933423,0.256,0.196,1.192840964995954e-57,GALNT11
4.690801655924365e-62,0.20974957322034204,0.347,0.278,1.2237832440141077e-57,CDC27
5.015904835239776e-62,0.15769894211973326,0.651,0.569,1.3085994124657052e-57,DLEU2
6.220157462907118e-62,0.29797265119308713,0.178,0.128,1.622776880497838e-57,RAB21
7.315512438641235e-62,0.20901989457228454,0.288,0.223,1.9085440401171118e-57,CCDC7
8.59843212256904e-62,0.12324876734913161,0.621,0.534,2.2432449564570368e-57,HNRNPA2B1
8.862113413672483e-62,0.21574807481018143,0.378,0.309,2.3120367684930142e-57,STAG2
9.324753816261652e-62,0.25023624484264584,0.2,0.146,2.4327350231245024e-57,AC009690.1
9.886745050603278e-62,0.20685724040287212,0.355,0.287,2.579352916251889e-57,SHOC2
1.3160162272372693e-61,0.25615495803382293,0.136,0.091,3.433354735239312e-57,GARS
1.4080965904447727e-61,0.2382357243218034,0.296,0.233,3.6735831948113673e-57,PIAS2
1.5316375057439183e-61,0.2521062810757575,0.171,0.121,3.995889088735308e-57,FBXW5
1.8795677156975056e-61,0.2490675227640542,0.229,0.172,4.903604213483222e-57,BNIP3
1.9788009705835676e-61,-0.3427063626796123,0.083,0.125,5.16249385215547e-57,BRCA1
2.0436323920266893e-61,0.3129378875448867,0.104,0.065,5.33163254755843e-57,IP6K3
2.1165322032962645e-61,0.23530461373193567,0.298,0.235,5.521820865179624e-57,SNX24
2.123877404094177e-61,0.27963652034127917,0.218,0.164,5.540983759541298e-57,TFRC
2.1922000765497423e-61,0.2570860176405054,0.236,0.179,5.719230779710623e-57,IQCB1
2.2584182456106888e-61,0.11481518247703182,0.812,0.734,5.891987360973726e-57,TRIO
2.3056879986506382e-61,0.2849086386510802,0.147,0.1,6.01530941967965e-57,GTF2A1
